date,CLOSE,HIGH,LOW,OPEN,VOLUME
2017-01-03,35.15,35.45,34.8,35.45,2877000
2017-01-04,35.25,35.3,35,35.2,3283000
2017-01-05,35.25,35.25,34.9,35,3576000
2017-01-06,35.25,35.3,34.9,35.3,3535000
2017-01-09,34.9,35.35,34.9,35.25,4392000
2017-01-10,34.95,35.15,34.65,34.8,2858000
2017-01-11,35.8,35.85,35.05,35.15,5391000
2017-01-12,36.3,36.3,35.7,35.85,7955000
2017-01-13,36,36.4,35.7,36.3,3891000
2017-01-16,35.8,36.05,35.6,35.8,2141000
2017-01-17,35.55,36,35.55,35.9,2895000
2017-01-18,35.45,35.55,35.3,35.45,4294000
2017-01-19,34.65,35.2,34.6,35.2,6094000
2017-01-20,34.95,35.1,34.75,34.8,2348000
2017-01-23,35.75,35.8,34.5,34.5,9395000
2017-01-24,35.4,36,35.3,35.75,6779000
