Date,Open,High,Low,Close,Volume,Adj Close
2016-08-08,5.65,5.66,5.63,5.66,400000,5.66
2016-08-09,5.70,5.72,5.70,5.72,400000,5.72
2016-08-10,5.68,5.68,5.67,5.67,400000,5.67
2016-08-11,5.74,5.76,5.74,5.76,370000,5.76
2016-08-12,5.72,5.72,5.72,5.72,435000,5.72
2016-08-15,5.72,5.99,5.72,5.99,395000,5.99
2016-08-16,5.99,5.99,5.94,5.94,430000,5.94
2016-08-17,5.94,5.98,5.90,5.98,358000,5.98
2016-08-18,5.94,5.96,5.94,5.96,376000,5.96
2016-08-19,5.85,5.93,5.85,5.93,350000,5.93
2016-08-22,5.93,5.93,5.93,5.93,340000,5.93
2016-08-23,5.91,5.92,5.91,5.92,480000,5.92
2016-08-24,5.88,5.89,5.83,5.87,407000,5.87
2016-08-25,5.86,5.87,5.86,5.87,400000,5.87
2016-08-26,5.86,5.86,5.84,5.84,400000,5.84
2016-08-29,5.82,5.84,5.82,5.84,300000,5.84
2016-08-30,5.84,5.84,5.84,5.84,430000,5.84
2016-08-31,5.85,5.86,5.84,5.84,369000,5.84
2016-09-01,5.84,5.85,5.84,5.85,383000,5.85
2016-09-02,5.83,5.84,5.83,5.84,408000,5.84
2016-09-05,5.87,5.87,5.83,5.83,303000,5.83
2016-09-06,5.90,5.90,5.90,5.90,200000,5.90
2016-09-07,5.91,5.92,5.91,5.92,400000,5.92
2016-09-08,5.88,5.88,5.88,5.88,340000,5.88
2016-09-09,5.91,5.92,5.91,5.92,360000,5.92
2016-09-10,5.77,5.77,5.77,5.77,405000,5.77
2016-09-12,5.72,5.72,5.70,5.70,403000,5.70
2016-09-13,5.72,5.72,5.72,5.72,400000,5.72
2016-09-14,5.76,5.76,5.76,5.76,390000,5.76
2016-09-19,5.70,5.73,5.70,5.73,400000,5.73
2016-09-20,5.73,5.73,5.73,5.73,350000,5.73
2016-09-21,5.74,5.74,5.74,5.74,300000,5.74
2016-09-22,5.81,5.81,5.81,5.81,330000,5.81
2016-09-23,5.81,5.81,5.81,5.81,111000,5.81
2016-09-26,5.74,5.74,5.74,5.74,120000,5.74
2016-09-29,5.68,5.68,5.68,5.68,100000,5.68
2016-09-30,5.69,5.70,5.69,5.70,101000,5.70
