Date,Open,High,Low,Close,Volume,Adj Close
2015-05-18,19.85,20.10,19.85,20.03,19248000,20.03
2015-05-19,20.06,20.28,19.39,19.51,26212000,19.51
2015-05-20,0.01,19.41,0.01,19.19,25218000,19.19
2015-05-21,19.05,19.35,19.05,19.17,28193000,19.17
2015-05-22,19.19,19.19,18.51,18.60,19135000,18.60
2015-05-25,18.49,18.49,17.99,17.99,16858000,17.99
2015-05-26,17.76,17.98,17.58,17.82,8640000,17.82
2015-05-27,17.68,18.09,17.55,18.04,10492000,18.04
2015-05-28,18.04,18.42,17.91,18.39,24347000,18.39
2015-05-29,19.10,19.44,18.99,19.14,23185000,19.14
2015-06-01,19.40,19.49,18.73,18.73,11368000,18.73
2015-06-02,18.45,18.71,18.35,18.66,7251000,18.66
2015-06-03,18.50,18.77,18.33,18.61,10561000,18.61
2015-06-04,18.54,19.40,18.04,18.95,26690000,18.95
2015-06-05,18.32,18.67,17.86,18.33,24658000,18.33
2015-06-08,18.33,18.35,17.56,17.57,18826000,17.57
2015-06-09,17.31,17.71,17.09,17.51,14326000,17.51
2015-06-10,17.80,17.90,17.61,17.69,11693000,17.69
2015-06-11,17.80,17.99,17.63,17.80,7429000,17.80
2015-06-12,17.80,17.98,17.63,17.88,5060000,17.88
2015-06-15,17.90,18.29,17.64,18.20,9889300,18.20
2015-06-16,18.31,18.61,18.31,18.53,16296000,18.53
2015-06-17,18.65,18.97,18.55,18.70,14865000,18.70
2015-06-18,18.52,19.02,18.52,18.98,8829000,18.98
2015-06-22,20.06,20.08,19.65,19.75,8934000,19.75
2015-06-23,19.70,20.33,19.54,19.59,18622000,19.59
2015-06-24,19.40,19.63,19.28,19.60,6389000,19.60
2015-06-25,19.25,19.25,18.90,19.07,7187000,19.07
2015-06-26,19.60,20.14,19.49,20.13,16299000,20.13
2015-06-29,20.20,22.60,20.13,21.80,39858000,21.80
2015-06-30,21.58,21.58,19.74,20.20,24830000,20.20
2015-07-01,19.78,20.06,19.69,19.84,11081000,19.84
2015-07-02,20.34,20.61,19.97,20.45,15813700,20.45
2015-07-03,20.72,21.75,20.38,20.69,28662510,20.69
2015-07-06,20.40,21.05,19.88,20.86,14280000,20.86
2015-07-07,20.46,20.94,20.14,20.47,11906500,20.47
2015-07-08,20.85,21.54,20.73,21.24,18976180,21.24
2015-07-09,22.08,23.21,19.88,20.19,39867000,20.19
2015-07-13,18.76,18.95,18.46,18.48,11336450,18.48
