Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,20.04,20.57,20.03,20.42,5544000,20.42
2016-08-08,20.38,20.90,20.38,20.89,3083000,20.89
2016-08-09,20.91,21.13,20.90,21.13,2807000,21.13
2016-08-10,21.29,21.45,21.19,21.39,3441000,21.39
2016-08-11,21.23,21.67,20.94,21.67,4576000,21.67
2016-08-12,21.70,22.40,21.70,22.34,4539000,22.34
2016-08-15,22.45,23.21,22.27,23.13,5447000,23.13
2016-08-16,23.47,23.50,22.92,23.11,2915000,23.11
2016-08-17,23.65,23.70,22.96,23.08,4466000,23.08
2016-08-18,22.91,23.25,22.73,23.06,3822000,23.06
2016-08-19,23.06,23.06,22.41,22.60,3214000,22.60
2016-08-22,22.69,22.76,22.18,22.37,3197000,22.37
2016-08-23,22.32,22.62,22.32,22.53,2317000,22.53
2016-08-24,22.55,22.63,21.99,22.09,3582000,22.09
2016-08-25,22.00,22.43,22.00,22.30,2083000,22.30
2016-08-26,22.22,22.54,22.19,22.33,2585000,22.33
2016-08-29,22.39,22.47,21.94,22.19,3244000,22.19
2016-08-30,22.27,22.66,22.22,22.64,2408000,22.64
2016-08-31,22.62,22.62,22.45,22.49,2285000,22.49
2016-09-01,22.33,22.65,22.04,22.52,3389000,22.52
2016-09-02,22.52,23.03,22.52,23.03,2330000,23.03
2016-09-05,23.23,23.85,23.23,23.78,3425000,23.78
2016-09-06,23.87,23.97,23.56,23.90,3193000,23.90
2016-09-07,24.00,24.46,23.94,24.32,3146000,24.32
2016-09-08,24.32,24.46,24.13,24.41,1960000,24.41
2016-09-09,24.45,25.26,24.40,25.26,3390000,25.26
2016-09-10,24.80,24.80,24.08,24.10,1207000,24.10
2016-09-12,24.00,24.16,23.05,23.08,6523000,23.08
2016-09-13,23.35,23.58,23.05,23.08,3612000,23.08
2016-09-14,22.69,22.84,22.36,22.53,3242000,22.53
2016-09-19,22.59,23.60,22.59,23.55,4162000,23.55
2016-09-20,23.55,23.55,23.02,23.18,2438000,23.18
2016-09-21,23.25,23.78,23.07,23.78,3087000,23.78
2016-09-22,23.99,24.91,23.99,24.22,3839000,24.22
2016-09-23,24.48,24.48,23.74,23.81,3256000,23.81
2016-09-26,23.56,23.69,22.93,23.22,3505000,23.22
2016-09-29,23.30,23.58,23.11,23.40,2628000,23.40
2016-09-30,23.21,23.21,22.71,22.86,3933000,22.86
2016-10-03,22.90,23.30,22.90,22.94,2795000,22.94
2016-10-04,22.90,23.11,22.84,23.04,2517000,23.04
2016-10-05,23.09,23.68,22.84,23.53,3463000,23.53
2016-10-06,23.64,24.06,23.58,24.00,2953000,24.00
2016-10-07,24.02,24.15,23.89,23.95,1820000,23.95
2016-10-11,24.19,24.64,23.30,23.43,4925000,23.43
2016-10-12,23.36,23.36,22.68,22.75,6683000,22.75
2016-10-13,22.82,22.86,22.11,22.25,6822000,22.25
2016-10-14,22.17,22.49,22.12,22.41,3522000,22.41
2016-10-17,22.49,22.54,22.10,22.36,3613000,22.36
2016-10-18,22.39,22.92,22.39,22.92,3597000,22.92
2016-10-19,23.03,23.09,22.70,22.72,3187000,22.72
2016-10-20,22.83,23.09,22.83,22.99,3222000,22.99
2016-10-21,22.91,22.95,22.87,22.87,1288000,22.87
2016-10-24,23.02,23.46,22.64,23.36,3977000,23.36
2016-10-25,23.49,23.56,23.39,23.46,2954000,23.46
2016-10-26,23.38,23.38,22.93,23.01,3310000,23.01
2016-10-27,22.93,22.96,22.10,22.22,7323000,22.22
2016-10-28,22.29,22.62,22.21,22.21,2734000,22.21
2016-10-31,22.11,22.56,21.81,22.50,4093000,22.50
2016-11-01,22.38,23.19,22.30,23.10,5758000,23.10
2016-11-02,22.89,22.89,21.98,21.98,6604000,21.98
2016-11-03,21.90,22.19,21.79,22.16,4774000,22.16
2016-11-04,22.05,22.09,21.76,21.88,3067000,21.88
2016-11-07,22.10,22.30,22.05,22.22,3405000,22.22
2016-11-08,22.40,22.75,22.27,22.45,4439000,22.45
2016-11-09,22.55,22.97,20.30,20.92,12904000,20.92
2016-11-10,22.20,22.53,22.02,22.30,5164000,22.30
2016-11-11,22.06,22.06,21.10,21.72,7428000,21.72
2016-11-14,21.50,21.70,20.93,21.25,5949000,21.25
2016-11-15,21.00,21.61,21.00,21.48,4104000,21.48
2016-11-16,21.66,21.90,21.59,21.66,4691000,21.66
2016-11-17,21.45,21.62,21.07,21.22,4074000,21.22
2016-11-18,21.35,21.35,20.92,21.16,4044000,21.16
2016-11-21,21.11,21.79,21.07,21.56,3885000,21.56
2016-11-22,21.62,22.48,21.62,22.44,7289000,22.44
2016-11-23,22.49,23.08,22.49,22.87,6366000,22.87
2016-11-24,22.75,22.75,22.20,22.68,5677000,22.68
2016-11-25,22.68,23.16,22.62,22.97,5389000,22.97
2016-11-28,23.43,23.77,23.20,23.77,6601000,23.77
2016-11-29,23.65,23.70,23.30,23.61,5356000,23.61
2016-11-30,23.50,23.98,23.50,23.61,4903000,23.61
2016-12-01,23.57,24.13,23.57,23.85,3622000,23.85
2016-12-02,23.85,23.85,23.11,23.26,5965000,23.26
