Date,Open,High,Low,Close,Volume,Adj Close
2017-08-21,--,--,--,--,0,--
2017-08-22,20.09,20.16,20.08,20.16,86000,20.16
2017-08-23,20.10,20.12,20.06,20.12,35000,20.12
2017-08-24,20.14,20.14,20.12,20.12,35000,20.12
2017-08-25,20.12,20.12,20.12,20.12,15000,20.12
2017-08-28,20.21,20.21,20.20,20.20,12000,20.20
2017-08-29,20.16,20.16,20.16,20.16,8000,20.16
2017-08-30,20.18,20.18,20.18,20.18,2000,20.18
2017-08-31,20.20,20.22,20.20,20.22,7000,20.22
2017-09-01,20.30,20.30,20.30,20.30,2000,20.30
2017-09-04,20.29,20.29,20.25,20.25,5000,20.25
2017-09-05,20.25,20.25,20.25,20.25,4000,20.25
2017-09-06,20.36,20.36,20.36,20.36,2000,20.36
2017-09-07,20.34,20.34,20.34,20.34,4000,20.34
2017-09-08,20.38,20.38,20.38,20.38,6000,20.38
2017-09-11,20.38,20.38,20.37,20.37,2000,20.37
2017-09-12,20.34,20.34,20.34,20.34,7000,20.34
2017-09-13,20.32,20.32,20.31,20.31,5000,20.31
2017-09-14,20.35,20.35,20.35,20.35,6000,20.35
2017-09-15,20.35,20.37,20.35,20.37,2000,20.37
2017-09-18,20.33,20.33,20.33,20.33,2000,20.33
2017-09-19,20.36,20.36,20.33,20.33,6000,20.33
2017-09-20,20.30,20.30,20.30,20.30,5000,20.30
2017-09-21,20.30,20.30,20.30,20.30,1000,20.30
2017-09-22,20.32,20.32,20.32,20.32,9000,20.32
2017-09-25,20.30,20.30,20.30,20.30,1000,20.30
2017-09-26,20.30,20.30,20.18,20.18,138000,20.18
2017-09-27,20.27,20.27,20.18,20.18,110000,20.18
2017-09-28,20.17,20.17,20.03,20.07,27000,20.07
2017-09-29,20.12,20.12,20.12,20.12,4759000,20.12
2017-09-30,20.15,20.15,20.15,20.15,1000,20.15
2017-10-02,20.19,20.27,20.19,20.27,166000,20.27
2017-10-03,20.31,20.32,20.31,20.32,2000,20.32
2017-10-05,20.32,20.34,20.32,20.34,104000,20.34
2017-10-06,20.30,20.30,20.30,20.30,1000,20.30
2017-10-11,20.27,20.27,20.24,20.24,15000,20.24
2017-10-12,20.17,20.17,20.17,20.17,3000,20.17
2017-10-13,20.19,20.19,20.19,20.19,1000,20.19
2017-10-16,20.21,20.24,20.21,20.24,25000,20.24
2017-10-17,20.26,20.34,20.26,20.34,4683000,20.34
2017-10-18,20.40,20.40,20.35,20.35,3000,20.35
2017-10-19,20.35,20.35,20.35,20.35,32000,20.35
2017-10-20,20.32,20.32,20.32,20.32,1000,20.32
2017-10-23,20.34,20.34,20.32,20.32,16000,20.32
2017-10-24,20.33,20.33,20.33,20.33,1000,20.33
2017-10-25,20.33,20.33,20.30,20.30,2000,20.30
2017-10-26,20.21,20.21,20.15,20.15,46000,20.15
