Date,Open,High,Low,Close,Volume,Adj Close
2006-10-13,10.05,10.20,10.05,10.19,86337000,10.19
2006-10-14,10.21,10.26,10.21,10.24,10876000,10.24
2006-10-16,10.25,10.29,10.24,10.28,10542000,10.28
2006-10-17,10.25,10.28,10.24,10.28,5985000,10.28
2006-10-18,10.28,10.28,10.25,10.28,6778000,10.28
2006-10-19,10.28,10.28,10.25,10.28,5113000,10.28
2006-10-20,10.27,10.28,10.27,10.27,6139000,10.27
2006-10-23,10.26,10.31,10.26,10.30,4596000,10.30
2006-10-24,10.30,10.32,10.29,10.32,3896000,10.32
2006-10-25,10.32,10.36,10.32,10.36,2840000,10.36
2006-10-26,10.36,10.38,10.35,10.38,780000,10.38
2006-10-27,10.38,10.40,10.24,10.35,5360000,10.35
2006-10-30,10.35,10.35,10.33,10.35,717000,10.35
2006-10-31,10.35,10.36,10.35,10.35,1895000,10.35
2006-11-01,10.35,10.37,10.33,10.37,833000,10.37
2006-11-02,10.34,10.37,10.34,10.37,1315000,10.37
2006-11-03,10.37,10.38,10.35,10.37,833000,10.37
2006-11-06,10.33,10.38,10.33,10.38,1344000,10.38
2006-11-07,10.39,10.39,10.36,10.39,1201000,10.39
2006-11-08,10.39,10.40,10.37,10.40,1784000,10.40
2006-11-09,10.40,10.46,10.40,10.45,2568000,10.45
2006-11-10,10.45,10.46,10.43,10.45,2414000,10.45
2006-11-13,10.44,10.46,10.43,10.45,696000,10.45
2006-11-14,10.45,10.46,10.45,10.45,705000,10.45
2006-11-15,10.45,10.46,10.45,10.46,1097000,10.46
2006-11-16,10.46,10.47,10.44,10.47,1779000,10.47
2006-11-17,10.46,10.48,10.45,10.47,1180000,10.47
2006-11-20,10.47,10.52,10.43,10.51,2640000,10.51
2006-11-21,10.51,10.57,10.51,10.55,1816000,10.55
2006-11-22,10.55,10.61,10.55,10.61,1502000,10.61
2006-11-23,10.61,10.67,10.58,10.66,1537000,10.66
2006-11-24,10.67,10.76,10.67,10.76,1284000,10.76
2006-11-27,10.76,10.83,10.76,10.82,3427000,10.82
2006-11-28,10.88,10.91,10.85,10.87,5325000,10.87
2006-11-29,10.87,10.90,10.85,10.87,8094000,10.87
2006-11-30,10.88,11.00,10.87,11.00,5510000,11.00
2006-12-01,11.00,11.15,11.00,11.12,12178000,11.12
2006-12-04,11.14,11.14,11.02,11.07,1311000,11.07
2006-12-05,11.07,11.37,11.05,11.37,4502000,11.37
2006-12-06,11.40,11.55,11.20,11.43,3711000,11.43
2006-12-07,11.43,11.45,11.20,11.36,2488000,11.36
2006-12-08,11.20,11.43,11.20,11.39,2585000,11.39
2006-12-11,11.39,11.70,11.30,11.59,2738000,11.59
2006-12-12,11.59,11.85,11.59,11.85,4362000,11.85
2006-12-13,11.86,11.98,11.80,11.95,4798000,11.95
2006-12-14,11.95,12.10,11.90,12.09,5684000,12.09
2006-12-15,12.15,12.25,12.10,12.20,9797000,12.20
2006-12-18,12.25,12.26,12.00,12.25,5856000,12.25
2006-12-19,12.25,12.26,12.08,12.25,4793000,12.25
2006-12-20,12.10,12.20,11.60,11.60,3134000,11.60
2006-12-21,11.50,11.61,11.49,11.50,4466000,11.50
2006-12-22,11.50,11.59,11.46,11.59,2486000,11.59
2006-12-25,11.58,11.58,11.30,11.31,1881000,11.31
2006-12-26,10.52,11.30,10.52,11.10,8457000,11.10
2006-12-27,11.21,11.60,11.21,11.30,12872000,11.30
2006-12-28,11.30,11.50,11.30,11.40,1299000,11.40
2006-12-29,11.40,11.54,11.40,11.54,723000,11.54
2007-01-02,11.54,11.65,11.54,11.55,894000,11.55
2007-01-03,11.46,11.50,11.35,11.47,1110000,11.47
2007-01-04,11.46,11.46,11.41,11.46,628000,11.46
2007-01-05,11.45,11.45,11.30,11.42,1529000,11.42
2007-01-08,11.41,11.41,11.37,11.37,1066000,11.37
2007-01-09,11.37,11.40,11.37,11.37,1475000,11.37
2007-01-10,11.37,11.37,11.34,11.34,1529000,11.34
2007-01-11,11.34,11.38,11.34,11.37,1307000,11.37
2007-01-12,11.37,11.47,11.37,11.46,1236000,11.46
2007-01-15,11.50,11.54,11.50,11.51,728000,11.51
2007-01-16,11.50,11.52,11.50,11.51,456000,11.51
2007-01-17,11.50,11.51,11.50,11.51,295000,11.51
2007-01-18,11.51,11.60,11.51,11.55,1494000,11.55
2007-01-19,11.55,11.64,11.55,11.64,1599000,11.64
