Date,Open,High,Low,Close,Volume,Adj Close
2013-10-24,34.50,35.70,33.00,35.00,3643907,35.00
2013-10-25,35.00,35.00,33.80,34.00,1451044,34.00
2013-10-28,34.00,35.30,33.65,34.00,924182,34.00
2013-10-29,34.00,34.00,33.40,33.55,545982,33.55
2013-10-30,33.55,34.35,33.20,34.35,1203882,34.35
2013-10-31,34.30,34.75,33.85,33.85,831110,33.85
2013-11-01,34.00,34.00,33.40,33.55,428340,33.55
2013-11-04,33.55,33.55,31.30,31.50,1048505,31.50
2013-11-05,31.40,32.20,30.10,31.00,651882,31.00
2013-11-06,31.00,31.00,29.05,29.60,832000,29.60
2013-11-07,29.30,31.65,29.10,31.65,1149612,31.65
2013-11-08,30.90,31.45,30.30,30.50,560000,30.50
2013-11-11,31.00,31.85,30.15,30.15,544480,30.15
2013-11-12,30.20,30.70,30.15,30.25,368089,30.25
2013-11-13,30.50,31.20,30.30,30.50,364160,30.50
2013-11-14,30.70,31.00,30.40,30.70,365520,30.70
2013-11-15,30.60,31.80,30.50,31.40,428484,31.40
2013-11-18,31.70,32.45,31.00,31.45,433782,31.45
2013-11-19,31.90,32.00,31.45,31.70,417620,31.70
2013-11-20,31.80,32.00,31.45,31.55,381000,31.55
2013-11-21,31.55,31.60,31.00,31.00,397000,31.00
2013-11-22,31.10,32.70,31.10,32.25,1062230,32.25
2013-11-25,32.25,32.30,31.60,31.95,429000,31.95
2013-11-26,32.10,32.35,31.40,32.30,475100,32.30
2013-11-27,32.50,32.90,32.10,32.40,710000,32.40
2013-11-28,32.40,33.60,32.40,32.95,599001,32.95
2013-11-29,32.80,33.25,32.50,32.65,324100,32.65
2013-12-02,32.65,33.10,32.65,33.10,244182,33.10
2013-12-03,33.20,35.40,33.20,35.40,2320692,35.40
2013-12-04,36.45,37.85,36.45,37.85,3128010,37.85
2013-12-05,40.40,40.45,40.40,40.45,2284600,40.45
2013-12-06,43.00,43.25,41.00,42.80,3893577,42.80
2013-12-09,44.80,45.75,43.50,44.50,3615867,44.50
2013-12-10,44.10,44.10,41.40,41.40,1615004,41.40
2013-12-11,40.80,42.80,40.60,42.20,1578780,42.20
2013-12-12,41.10,41.40,40.00,41.00,1011192,41.00
2013-12-13,41.30,43.85,40.70,43.85,2037548,43.85
2013-12-16,44.40,46.80,44.00,45.30,2487760,45.30
2013-12-17,45.60,45.70,44.00,44.40,1092475,44.40
2013-12-18,45.00,45.00,43.60,44.50,673060,44.50
2013-12-19,45.00,45.00,42.00,42.50,995400,42.50
2013-12-20,41.65,42.35,40.90,42.20,876300,42.20
2013-12-23,42.50,44.40,40.30,44.00,1292641,44.00
2013-12-24,43.90,43.90,42.50,42.50,613025,42.50
2013-12-25,43.00,43.00,41.50,42.00,442362,42.00
2013-12-26,42.00,43.80,41.60,43.70,1112305,43.70
2013-12-27,43.70,44.00,42.40,43.00,1135125,43.00
2013-12-30,42.70,42.90,42.35,42.45,369866,42.45
2013-12-31,42.95,42.95,41.55,41.80,468300,41.80
2014-01-02,41.80,42.10,40.10,40.50,1317600,40.50
2014-01-03,40.50,40.95,40.00,40.30,505240,40.30
2014-01-06,40.50,40.90,37.50,38.00,2167210,38.00
2014-01-07,37.95,38.35,37.00,38.20,462060,38.20
2014-01-08,38.30,38.80,38.30,38.35,731000,38.35
2014-01-09,38.45,38.90,38.45,38.60,382000,38.60
2014-01-10,39.00,39.50,38.75,38.85,503000,38.85
2014-01-13,39.30,39.30,37.90,38.00,405000,38.00
2014-01-14,38.00,38.40,37.75,38.30,151200,38.30
