Date,Open,High,Low,Close,Volume,Adj Close
2016-05-31,60.00,60.00,59.20,59.50,5260052,59.50
2016-06-01,59.50,59.70,59.00,59.00,1805628,59.00
2016-06-02,59.00,59.00,58.10,58.20,2171812,58.20
2016-06-03,58.00,58.00,57.50,57.50,1988889,57.50
2016-06-04,57.20,58.20,57.20,58.00,716050,58.00
2016-06-06,58.00,58.50,58.00,58.50,375674,58.50
2016-06-07,58.60,59.20,58.50,59.00,686030,59.00
2016-06-08,59.00,59.30,59.00,59.10,406768,59.10
2016-06-13,59.00,59.30,58.70,59.10,3256638,59.10
2016-06-14,59.10,59.30,59.10,59.30,3718157,59.30
2016-06-15,59.30,59.40,59.20,59.30,162805,59.30
2016-06-16,59.30,59.30,59.20,59.20,228975,59.20
2016-06-17,59.30,59.40,59.20,59.30,135485,59.30
2016-06-20,59.30,59.40,59.30,59.30,224041,59.30
2016-06-21,59.30,59.60,59.30,59.50,461616,59.50
2016-06-22,59.50,59.50,59.40,59.50,254932,59.50
2016-06-23,59.50,59.60,59.40,59.50,175409,59.50
2016-06-24,59.50,59.50,59.10,59.20,391214,59.20
2016-06-27,59.10,59.40,59.10,59.40,228411,59.40
2016-06-28,59.40,59.40,59.30,59.30,273160,59.30
2016-06-29,59.40,59.50,59.30,59.30,464846,59.30
2016-06-30,59.30,59.40,59.30,59.40,128323,59.40
2016-07-01,59.40,59.40,59.30,59.30,194038,59.30
2016-07-04,59.30,59.50,59.30,59.40,353969,59.40
2016-07-05,59.40,59.40,59.30,59.30,171212,59.30
2016-07-06,59.30,59.30,59.20,59.20,277295,59.20
2016-07-07,59.20,59.40,59.20,59.20,311744,59.20
2016-07-11,59.30,59.30,59.20,59.20,189499,59.20
2016-07-12,59.30,59.40,59.20,59.30,258191,59.30
2016-07-13,59.30,59.40,59.30,59.30,115150,59.30
2016-07-14,59.30,59.30,59.20,59.20,115260,59.20
2016-07-15,59.20,59.30,59.20,59.30,92305,59.30
2016-07-18,59.30,59.50,59.20,59.50,398064,59.50
2016-07-19,59.40,59.50,59.30,59.30,114204,59.30
2016-07-20,59.30,59.40,59.30,59.40,127508,59.40
2016-07-21,59.40,59.50,59.40,59.50,159619,59.50
2016-07-22,59.40,59.50,59.40,59.50,290376,59.50
2016-07-25,59.50,59.90,59.40,59.70,560611,59.70
2016-07-26,59.60,59.80,59.60,59.80,225078,59.80
2016-07-27,59.80,60.10,59.80,60.00,950293,60.00
2016-07-28,60.00,60.10,60.00,60.00,317760,60.00
2016-07-29,60.00,60.20,60.00,60.20,970962,60.20
2016-08-01,60.20,60.20,60.00,60.00,315185,60.00
2016-08-02,60.10,60.20,60.00,60.10,302197,60.10
2016-08-03,60.10,60.20,60.10,60.10,188713,60.10
2016-08-04,60.10,60.40,60.10,60.30,1188728,60.30
2016-08-05,60.30,60.50,60.30,60.50,1140316,60.50
2016-08-08,60.50,60.50,60.40,60.50,476764,60.50
2016-08-09,60.40,60.50,60.40,60.50,272381,60.50
2016-08-10,60.40,60.50,60.40,60.50,187766,60.50
2016-08-11,60.50,60.50,60.30,60.40,474019,60.40
2016-08-12,60.40,60.40,60.30,60.30,191588,60.30
2016-08-15,60.30,60.30,60.30,60.30,138366,60.30
2016-08-16,60.30,60.50,60.30,60.40,302605,60.40
2016-08-17,60.40,60.50,60.40,60.50,990809,60.50
2016-08-18,60.50,60.50,60.40,60.50,278900,60.50
2016-08-19,60.50,60.60,60.40,60.50,560545,60.50
2016-08-22,60.50,60.60,60.50,60.60,482096,60.60
2016-08-23,60.60,60.70,60.50,60.60,389145,60.60
2016-08-24,60.60,60.80,60.60,60.70,542701,60.70
2016-08-25,60.70,60.80,60.70,60.70,192078,60.70
2016-08-26,60.80,60.80,60.70,60.80,116151,60.80
2016-08-29,60.80,60.90,60.80,60.80,160281,60.80
2016-08-30,60.80,61.10,60.80,61.00,770207,61.00
2016-08-31,61.00,61.10,61.00,61.00,292389,61.00
2016-09-01,61.00,61.10,61.00,61.00,234753,61.00
2016-09-02,61.00,61.00,61.00,61.00,111016,61.00
2016-09-05,61.00,61.10,61.00,61.00,3410151,61.00
2016-09-06,61.00,61.10,61.00,61.00,292224,61.00
2016-09-07,61.10,61.10,61.00,61.00,17170115,61.00
2016-09-08,61.00,61.00,60.90,60.90,239016,60.90
2016-09-09,60.90,61.10,60.80,61.00,391741,61.00
2016-09-10,60.90,61.00,60.90,60.90,68330,60.90
2016-09-12,60.90,61.00,60.90,60.90,112438,60.90
