Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,51.50,51.90,51.50,51.70,6067870,51.70
2017-02-13,51.80,51.90,51.70,51.80,2617236,51.80
2017-02-14,51.80,51.90,51.70,51.70,1488227,51.70
2017-02-15,51.70,51.80,51.60,51.60,1851604,51.60
2017-02-16,51.70,51.70,51.60,51.60,822240,51.60
2017-02-17,51.70,51.80,51.70,51.70,980015,51.70
2017-02-18,51.70,52.00,51.70,51.90,521764,51.90
2017-02-20,51.90,52.00,51.80,51.90,472454,51.90
2017-02-21,51.90,52.20,51.90,52.20,696028,52.20
2017-02-22,52.20,52.30,52.10,52.10,1045548,52.10
2017-02-23,52.10,52.30,52.10,52.30,526478,52.30
2017-02-24,52.30,52.40,52.20,52.40,284837,52.40
2017-03-01,52.40,52.60,52.40,52.60,740630,52.60
2017-03-02,52.70,53.00,52.70,53.00,927767,53.00
2017-03-03,53.00,53.30,53.00,53.20,4816176,53.20
2017-03-06,53.30,53.30,53.10,53.20,424395,53.20
2017-03-07,53.20,53.20,53.10,53.10,723383,53.10
2017-03-08,53.10,53.10,52.60,52.80,1355031,52.80
2017-03-09,52.80,52.80,52.70,52.70,170902,52.70
2017-03-10,52.70,52.80,52.70,52.80,226456,52.80
2017-03-13,52.80,52.80,52.70,52.70,227920,52.70
2017-03-14,52.70,52.70,52.50,52.50,351411,52.50
2017-03-15,52.60,52.60,52.50,52.60,199559,52.60
2017-03-16,52.60,52.60,52.50,52.50,214455,52.50
2017-03-17,52.50,52.60,52.40,52.40,540997,52.40
2017-03-20,52.40,52.40,52.20,52.20,605508,52.20
2017-03-21,52.20,52.40,52.20,52.30,156477,52.30
2017-03-22,52.30,52.30,52.00,52.20,1146426,52.20
2017-03-23,52.30,52.30,52.20,52.20,221502,52.20
2017-03-24,52.20,52.20,52.10,52.20,120740,52.20
2017-03-27,52.20,52.20,52.10,52.10,150827,52.10
2017-03-28,52.20,52.20,52.00,52.10,735412,52.10
2017-03-29,52.10,52.20,52.10,52.10,288214,52.10
2017-03-30,52.10,52.20,52.00,52.00,631676,52.00
2017-03-31,52.10,52.10,51.90,51.90,784194,51.90
2017-04-05,51.90,52.00,51.90,51.90,277135,51.90
2017-04-06,51.90,52.10,51.90,52.00,176676,52.00
2017-04-07,52.00,52.20,52.00,52.10,193142,52.10
2017-04-10,52.10,52.20,52.10,52.10,108926,52.10
2017-04-11,52.20,52.20,52.10,52.10,124009,52.10
2017-04-12,52.10,52.30,52.10,52.30,301568,52.30
2017-04-13,52.20,52.20,52.10,52.10,104696,52.10
2017-04-14,52.10,52.20,52.10,52.10,325454,52.10
2017-04-17,52.10,52.20,52.10,52.20,207793,52.20
2017-04-18,52.20,52.30,52.10,52.10,259539,52.10
2017-04-19,52.10,52.30,52.10,52.20,185784,52.20
2017-04-20,52.20,52.40,52.20,52.20,268631,52.20
2017-04-21,52.20,52.30,52.20,52.20,112295,52.20
2017-04-24,52.30,52.30,52.20,52.20,133208,52.20
2017-04-25,52.20,52.20,51.80,52.00,933085,52.00
2017-04-26,51.60,52.00,51.60,52.00,745339,52.00
2017-04-27,52.00,52.00,51.90,52.00,58250,52.00
2017-04-28,51.90,52.00,51.80,51.90,208731,51.90
2017-05-02,51.90,52.00,51.80,51.90,100890,51.90
2017-05-03,52.00,52.00,51.90,52.00,298967,52.00
2017-05-04,51.90,52.00,51.80,51.90,258919,51.90
2017-05-05,51.90,51.90,51.80,51.80,123054,51.80
2017-05-08,51.80,51.90,51.70,51.80,119655,51.80
2017-05-09,51.80,51.80,51.60,51.60,361306,51.60
2017-05-10,51.60,51.80,51.60,51.70,80969,51.70
