Date,Open,High,Low,Close,Volume,Adj Close
2003-06-30,37.1,37.4,36.92,37.08,9930000.0,37.08
2003-07-01,37.09,38.1,37.09,38.05,14290000.0,38.05
2003-07-02,38.17,38.82,38.1,38.69,16232000.0,38.69
2003-07-03,40.6,40.6,38.81,39.0,16839000.0,39.0
2003-07-04,39.1,39.26,38.75,39.26,12491000.0,39.26
2003-07-07,39.6,41.0,39.6,41.0,19461000.0,41.0
2003-07-08,42.0,42.0,40.7,41.19,13945000.0,41.19
2003-07-09,41.3,41.3,40.81,41.22,8849000.0,41.22
2003-07-10,41.2,41.2,40.05,40.05,8603000.0,40.05
2003-07-11,39.6,39.97,39.3,39.91,7019000.0,39.91
2003-07-14,39.95,41.0,39.92,40.66,10771000.0,40.66
2003-07-15,40.7,40.86,40.19,40.19,9432000.0,40.19
2003-07-16,40.5,40.98,40.24,40.85,6798000.0,40.85
2003-07-17,40.5,40.65,39.8,39.8,9924000.0,39.8
2003-07-18,39.78,39.98,39.55,39.92,7220000.0,39.92
2003-07-21,40.0,40.25,39.4,39.4,6715000.0,39.4
2003-07-22,39.41,39.98,39.41,39.98,9169000.0,39.98
2003-07-23,40.3,40.5,40.0,40.05,8148000.0,40.05
2003-07-24,40.2,41.23,40.2,41.23,10984000.0,41.23
2003-07-25,41.0,41.34,40.85,41.23,8433000.0,41.23
2003-07-28,41.9,41.94,41.57,41.58,6839000.0,41.58
2003-07-29,41.54,41.54,40.83,41.02,5680000.0,41.02
2003-07-30,41.0,41.02,40.55,40.6,9300000.0,40.6
2003-07-31,40.66,41.0,40.44,40.87,5120000.0,40.87
2003-08-01,41.28,41.6,41.05,41.6,3703000.0,41.6
2003-08-04,41.47,41.55,41.21,41.4,3708000.0,41.4
2003-08-05,41.5,41.61,40.5,40.5,4929000.0,40.5
2003-08-06,40.2,40.3,40.06,40.23,4646000.0,40.23
2003-08-07,40.35,40.77,39.97,40.7,5574000.0,40.7
2003-08-08,40.7,40.7,40.18,40.18,4009000.0,40.18
2003-08-11,39.9,40.18,39.68,40.1,2619000.0,40.1
2003-08-12,40.34,40.65,40.34,40.55,4255000.0,40.55
2003-08-13,41.0,42.45,41.0,42.45,12452000.0,42.45
2003-08-14,42.29,42.55,42.0,42.3,11489000.0,42.3
2003-08-15,42.66,43.5,42.66,42.72,8705000.0,42.72
2003-08-18,43.0,43.1,42.52,42.8,4295000.0,42.8
2003-08-19,43.5,43.6,42.8,43.0,6286000.0,43.0
2003-08-20,42.8,43.28,42.8,43.19,4201000.0,43.19
2003-08-21,43.19,44.0,42.8,44.0,3518000.0,44.0
2003-08-22,44.0,44.59,43.95,44.04,6243000.0,44.04
2003-08-25,44.1,44.39,43.79,44.35,4937000.0,44.35
2003-08-26,44.25,44.25,43.4,43.46,8544000.0,43.46
2003-08-27,43.28,43.97,43.28,43.62,6352000.0,43.62
2003-08-28,43.63,43.95,43.49,43.56,4754000.0,43.56
2003-08-29,43.6,44.92,43.6,44.92,7666000.0,44.92
2003-09-01,46.4,46.4,44.79,45.15,6283000.0,45.15
2003-09-02,45.23,45.52,44.9,45.52,2163000.0,45.52
2003-09-03,45.9,45.9,45.0,45.0,4321000.0,45.0
2003-09-04,45.1,45.1,44.51,44.51,3077000.0,44.51
2003-09-05,45.0,45.25,44.7,45.03,3894000.0,45.03
2003-09-08,44.8,46.0,44.59,45.95,5233000.0,45.95
2003-09-09,46.5,46.59,45.7,45.7,7878000.0,45.7
2003-09-10,45.5,45.6,44.8,45.1,4903000.0,45.1
2003-09-12,45.04,45.47,44.8,45.47,2730000.0,45.47
2003-09-15,45.45,45.45,44.92,45.0,2946000.0,45.0
2003-09-16,44.6,45.49,44.6,45.45,2267000.0,45.45
2003-09-17,45.83,45.99,45.7,45.79,5547000.0,45.79
2003-09-18,45.8,45.8,45.4,45.68,1464000.0,45.68
2003-09-19,45.68,46.0,45.6,45.8,6913000.0,45.8
2003-09-22,45.5,45.5,45.0,45.0,5920000.0,45.0
2003-09-23,44.7,45.0,44.7,44.8,6887000.0,44.8
2003-09-24,44.98,45.0,44.71,44.85,3625000.0,44.85
2003-09-25,44.7,44.9,44.2,44.85,6414000.0,44.85
2003-09-26,44.85,44.9,44.7,44.85,3001000.0,44.85
2003-09-29,44.8,44.81,44.6,44.71,1128000.0,44.71
2003-09-30,44.71,44.9,44.61,44.7,4797000.0,44.7
2003-10-01,44.51,44.51,44.06,44.16,4135000.0,44.16
2003-10-02,44.79,45.4,44.6,45.05,6668000.0,45.05
2003-10-03,45.2,45.41,45.07,45.31,4895000.0,45.31
2003-10-06,45.7,46.34,45.7,46.25,8892000.0,46.25
2003-10-07,46.4,46.4,46.18,46.28,7937000.0,46.28
2003-10-08,46.3,46.38,45.87,46.0,1810000.0,46.0
2003-10-09,46.0,46.2,45.9,46.14,5914000.0,46.14
2003-10-13,46.4,47.19,46.4,47.19,8657000.0,47.19
2003-10-14,47.35,47.52,47.01,47.01,6643000.0,47.01
2003-10-15,47.01,47.3,46.81,47.05,5439000.0,47.05
2003-10-16,47.05,47.75,46.98,47.7,10708000.0,47.7
2003-10-17,47.8,47.87,47.51,47.79,4645000.0,47.79
2003-10-20,47.58,48.1,47.58,48.0,3041000.0,48.0
2003-10-21,48.0,48.25,47.49,47.8,3924000.0,47.8
2003-10-22,47.69,47.86,47.43,47.8,2416000.0,47.8
2003-10-23,47.3,47.38,47.03,47.1,6883000.0,47.1
2003-10-24,47.0,47.2,46.83,46.95,6866000.0,46.95
2003-10-27,46.95,47.15,46.93,47.0,1728000.0,47.0
2003-10-28,47.0,47.89,47.0,47.85,6265000.0,47.85
2003-10-29,48.5,48.6,48.0,48.0,13510000.0,48.0
2003-10-30,48.21,49.0,48.0,48.16,5127000.0,48.16
2003-10-31,48.15,48.27,47.81,48.0,23668000.0,48.0
2003-11-03,48.0,48.07,47.79,48.0,3215000.0,48.0
2003-11-04,48.25,48.55,48.0,48.0,6331000.0,48.0
2003-11-05,48.0,48.5,48.0,48.44,4990000.0,48.44
2003-11-06,48.55,48.77,47.2,47.6,4923000.0,47.6
2003-11-07,47.51,47.78,47.2,47.78,5698000.0,47.78
2003-11-10,47.6,47.78,47.49,47.51,1482000.0,47.51
2003-11-11,47.4,47.49,47.0,47.18,2962000.0,47.18
2003-11-12,47.18,47.23,47.0,47.02,2789000.0,47.02
2003-11-13,47.35,47.58,47.3,47.35,2636000.0,47.35
2003-11-14,47.5,47.55,47.25,47.55,2781000.0,47.55
2003-11-17,47.3,47.3,46.65,46.7,5041000.0,46.7
2003-11-18,46.7,46.79,46.38,46.6,6796000.0,46.6
2003-11-19,46.0,46.27,45.75,45.99,10670000.0,45.99
2003-11-20,46.19,46.19,45.6,45.6,5539000.0,45.6
2003-11-21,45.3,45.6,45.1,45.57,3884000.0,45.57
