Date,Open,High,Low,Close,Volume,Adj Close
2017-10-24,6.63,6.66,6.63,6.66,500,6.66
2017-10-25,6.65,6.67,6.65,6.67,600,6.67
2017-10-26,6.73,6.73,6.73,6.73,100,6.73
2017-10-27,6.75,6.79,6.75,6.79,500,6.79
2017-10-30,6.82,6.82,6.82,6.82,100,6.82
2017-10-31,--,--,--,--,0,--
2017-11-01,6.85,6.85,6.85,6.85,700,6.85
2017-11-02,--,--,--,--,0,--
2017-11-03,6.83,6.83,6.83,6.83,500,6.83
2017-11-06,--,--,--,--,0,--
2017-11-07,--,--,--,--,0,--
2017-11-08,6.93,6.93,6.93,6.93,500,6.93
2017-11-09,--,--,--,--,0,--
2017-11-10,--,--,--,--,0,--
2017-11-13,7.02,7.04,7.01,7.04,88600,7.04
2017-11-14,7.09,7.09,7.01,7.01,63300,7.01
2017-11-15,6.97,6.97,6.95,6.95,118200,6.95
2017-11-16,6.98,7.00,6.98,7.00,144000,7.00
2017-11-17,7.06,7.06,7.04,7.04,90000,7.04
2017-11-20,7.09,7.09,7.05,7.05,90000,7.05
2017-11-21,7.15,7.33,7.15,7.33,86600,7.33
2017-11-22,7.42,7.44,7.42,7.44,80100,7.44
2017-11-23,7.38,7.38,7.38,7.38,80000,7.38
2017-11-24,7.26,7.26,7.17,7.21,115500,7.21
2017-11-27,7.16,7.16,7.11,7.11,100600,7.11
2017-11-28,7.10,7.10,7.05,7.05,48400,7.05
2017-11-29,7.12,7.14,7.05,7.07,100100,7.07
2017-11-30,7.08,7.08,7.05,7.08,85600,7.08
2017-12-01,6.97,6.97,6.97,6.97,120000,6.97
2017-12-04,6.92,7.01,6.92,7.01,120500,7.01
2017-12-05,7.10,7.10,7.10,7.10,120000,7.10
2017-12-06,7.03,7.04,7.03,7.04,120100,7.04
2017-12-07,6.96,6.96,6.92,6.92,130000,6.92
2017-12-08,6.91,6.91,6.91,6.91,120000,6.91
2017-12-11,7.04,7.04,7.04,7.04,120000,7.04
2017-12-12,7.05,7.05,7.05,7.05,120000,7.05
2017-12-13,7.00,7.00,7.00,7.00,120000,7.00
2017-12-14,7.06,7.06,7.04,7.04,125000,7.04
2017-12-15,6.95,6.96,6.95,6.95,135000,6.95
2017-12-18,6.97,6.97,6.95,6.95,120100,6.95
2017-12-19,7.02,7.02,7.02,7.02,120000,7.02
2017-12-20,7.10,7.10,7.07,7.07,130200,7.07
2017-12-21,7.19,7.19,7.19,7.19,120000,7.19
2017-12-22,7.18,7.18,7.17,7.17,150000,7.17
2017-12-25,7.19,7.19,7.19,7.19,120000,7.19
2017-12-26,7.16,7.16,7.16,7.16,160100,7.16
2017-12-27,7.18,7.19,7.15,7.15,190100,7.15
2017-12-28,7.07,7.12,7.07,7.12,160500,7.12
2017-12-29,7.15,7.18,7.12,7.12,180300,7.12
2018-01-02,7.30,7.30,7.29,7.29,160500,7.29
2018-01-03,7.32,7.38,7.32,7.38,150100,7.38
2018-01-04,7.31,7.36,7.31,7.35,170700,7.35
2018-01-05,7.39,7.39,7.39,7.39,160000,7.39
2018-01-08,7.42,7.42,7.41,7.41,160100,7.41
2018-01-09,7.45,7.45,7.45,7.45,160300,7.45
2018-01-10,7.51,7.54,7.51,7.54,160200,7.54
2018-01-11,7.54,7.54,7.52,7.52,140000,7.52
2018-01-12,7.52,7.58,7.52,7.58,160100,7.58
2018-01-13,6.97,6.97,6.95,6.95,120100,6.95
2018-01-15,7.69,7.80,7.69,7.80,162300,7.80
2018-01-16,7.84,7.84,7.84,7.84,160000,7.84
2018-01-17,7.95,7.97,7.85,7.85,160400,7.85
2018-01-18,7.94,7.95,7.90,7.90,175000,7.90
2018-01-19,7.96,8.05,7.96,8.04,160200,8.04
2018-01-22,8.03,8.03,8.03,8.03,160000,8.03
2018-01-23,8.15,8.15,8.12,8.13,200200,8.13
2018-01-24,8.14,8.16,8.11,8.15,200600,8.15
2018-01-25,8.08,8.14,8.08,8.14,175000,8.14
2018-01-26,8.16,8.22,8.16,8.22,161200,8.22
2018-01-29,8.22,8.22,8.12,8.12,166900,8.12
2018-01-30,8.04,8.04,7.93,7.93,163700,7.93
2018-01-31,7.96,8.00,7.94,8.00,164400,8.00
2018-02-01,8.04,8.04,8.03,8.03,162400,8.03
2018-02-02,8.00,8.03,8.00,8.03,162000,8.03
