Date,Open,High,Low,Close,Volume,Adj Close
2017-03-14,20.00,20.00,19.93,19.98,2386000,19.98
2017-03-15,20.04,20.06,20.03,20.05,925000,20.05
2017-03-16,19.63,19.63,19.57,19.61,965000,19.61
2017-03-17,19.54,19.54,19.47,19.49,583000,19.49
2017-03-20,19.50,19.50,19.44,19.44,171000,19.44
2017-03-21,19.48,19.49,19.42,19.49,451000,19.49
2017-03-22,19.30,19.32,19.26,19.27,743000,19.27
2017-03-23,19.26,19.27,19.26,19.27,605000,19.27
2017-03-24,19.34,19.36,19.33,19.35,480000,19.35
2017-03-27,19.15,19.15,19.09,19.11,675000,19.11
2017-03-28,19.08,19.08,19.04,19.05,61000,19.05
2017-03-29,19.27,19.30,19.24,19.30,616000,19.30
2017-03-30,19.40,19.42,19.38,19.40,733000,19.40
2017-03-31,19.57,19.61,19.56,19.59,482000,19.59
2017-04-05,19.70,19.70,19.56,19.60,48000,19.60
2017-04-06,19.54,19.60,19.54,19.60,45000,19.60
2017-04-07,19.69,19.69,19.64,19.68,55000,19.68
2017-04-10,19.90,19.93,19.89,19.91,110000,19.91
2017-04-11,19.84,19.84,19.79,19.82,65000,19.82
2017-04-12,19.70,19.72,19.67,19.70,844000,19.70
2017-04-13,19.46,19.46,19.42,19.44,69000,19.44
2017-04-14,19.51,19.64,19.51,19.64,12000,19.64
2017-04-17,19.54,19.55,19.52,19.55,813000,19.55
2017-04-18,19.53,19.53,19.50,19.53,448000,19.53
2017-04-19,19.23,19.26,19.22,19.24,250000,19.24
2017-04-20,19.29,19.33,19.29,19.29,299000,19.29
2017-04-21,19.30,19.30,19.28,19.29,368000,19.29
2017-04-24,19.03,19.10,19.01,19.03,467000,19.03
2017-04-25,18.78,19.01,18.78,19.00,1037000,19.00
2017-04-26,18.87,18.88,18.83,18.83,644000,18.83
2017-04-27,18.92,18.92,18.85,18.89,790000,18.89
2017-04-28,18.98,19.01,18.96,19.01,215000,19.01
2017-05-02,19.01,19.01,18.89,18.92,939000,18.92
2017-05-03,18.87,18.90,18.85,18.90,289000,18.90
2017-05-04,19.08,19.08,19.04,19.06,192000,19.06
2017-05-05,18.87,18.87,18.81,18.81,890000,18.81
2017-05-08,18.81,18.86,18.81,18.85,169000,18.85
2017-05-09,18.98,19.00,18.98,19.00,148000,19.00
2017-05-10,19.12,19.14,19.11,19.14,84000,19.14
2017-05-11,19.17,19.23,19.16,19.23,195000,19.23
2017-05-12,19.22,19.23,19.17,19.18,1052000,19.18
2017-05-15,19.07,19.07,18.99,18.99,176000,18.99
2017-05-16,18.87,18.91,18.87,18.88,47000,18.88
2017-05-17,18.63,18.63,18.55,18.57,611000,18.57
2017-05-18,18.38,18.45,18.35,18.45,354000,18.45
2017-05-19,18.48,18.53,18.48,18.52,71000,18.52
2017-05-22,18.34,18.37,18.32,18.35,855000,18.35
2017-05-23,18.23,18.23,18.17,18.21,365000,18.21
2017-05-24,18.35,18.43,18.35,18.40,278000,18.40
2017-05-25,18.31,18.31,18.22,18.24,392000,18.24
2017-05-26,18.32,18.37,18.32,18.37,351000,18.37
2017-05-31,18.42,18.42,18.40,18.42,78000,18.42
2017-06-01,18.31,18.31,18.23,18.29,194000,18.29
2017-06-02,18.32,18.42,18.32,18.39,302000,18.39
2017-06-03,18.30,18.30,18.20,18.22,98000,18.22
2017-06-05,18.22,18.26,18.18,18.26,184000,18.26
2017-06-06,18.25,18.26,18.18,18.19,175000,18.19
2017-06-07,18.20,18.22,18.18,18.19,224000,18.19
2017-06-08,18.28,18.30,18.18,18.18,942000,18.18
2017-06-09,18.40,18.42,18.32,18.33,773000,18.33
2017-06-12,18.34,18.36,18.30,18.36,175000,18.36
2017-06-13,18.38,18.39,18.36,18.39,153000,18.39
2017-06-14,18.28,18.28,18.22,18.24,174000,18.24
2017-06-15,18.20,18.24,18.18,18.22,193000,18.22
2017-06-16,18.40,18.50,18.40,18.50,222000,18.50
2017-06-19,18.40,18.40,18.33,18.35,95000,18.35
2017-06-20,18.53,18.53,18.43,18.46,87000,18.46
2017-06-21,18.54,18.54,18.50,18.54,134000,18.54
2017-06-22,18.43,18.43,18.39,18.39,69000,18.39
2017-06-23,18.42,18.42,18.39,18.42,19000,18.42
2017-06-26,18.38,18.38,18.30,18.31,238000,18.31
2017-06-27,18.35,18.35,18.35,18.35,1000,18.35
2017-06-28,18.07,18.07,17.95,18.03,251000,18.03
2017-06-29,17.99,17.99,17.82,17.84,278000,17.84
2017-06-30,17.84,17.84,17.73,17.84,331000,17.84
2017-07-03,17.84,17.87,17.78,17.84,440000,17.84
2017-07-04,17.94,17.96,17.93,17.95,143000,17.95
2017-07-05,17.95,17.97,17.94,17.97,136000,17.97
2017-07-06,17.97,18.02,17.97,18.02,154000,18.02
2017-07-07,17.85,17.91,17.85,17.90,140000,17.90
2017-07-10,17.87,17.93,17.87,17.93,63000,17.93
2017-07-11,17.95,17.96,17.94,17.96,15000,17.96
2017-07-12,17.82,17.82,17.78,17.79,409000,17.79
