Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,9.97,10.00,9.95,9.97,2693000,9.97
2017-03-31,9.98,9.99,9.96,9.97,3227000,9.97
2017-04-05,9.98,9.98,9.87,9.87,1416000,9.87
2017-04-06,9.88,9.91,9.87,9.90,1963000,9.90
2017-04-07,9.93,10.01,9.92,9.92,1663000,9.92
2017-04-10,9.92,9.94,9.91,9.92,388000,9.92
2017-04-11,9.96,10.01,9.92,10.00,3244000,10.00
2017-04-12,10.01,10.04,9.99,10.01,1912000,10.01
2017-04-13,10.01,10.02,9.95,9.96,2401000,9.96
2017-04-14,10.03,10.09,10.03,10.09,2955000,10.09
2017-04-17,10.06,10.12,10.05,10.09,2229000,10.09
2017-04-18,10.05,10.09,10.04,10.08,3196000,10.08
2017-04-19,10.15,10.20,10.13,10.20,2577000,10.20
2017-04-20,10.23,10.23,10.17,10.20,2889000,10.20
2017-04-21,10.15,10.15,10.11,10.11,2209000,10.11
2017-04-24,10.06,10.12,10.04,10.11,1908000,10.11
2017-04-25,10.07,10.07,10.00,10.00,2194000,10.00
2017-04-26,9.95,9.97,9.94,9.96,3369000,9.96
2017-04-27,9.97,10.00,9.95,9.96,3738000,9.96
2017-04-28,9.96,9.97,9.93,9.96,3043000,9.96
2017-05-02,9.89,9.89,9.86,9.87,2955000,9.87
2017-05-03,9.86,9.87,9.85,9.85,3588000,9.85
2017-05-04,9.88,9.89,9.85,9.86,4348000,9.86
2017-05-05,9.87,9.92,9.87,9.92,3471000,9.92
2017-05-08,9.87,9.92,9.86,9.90,4543000,9.90
2017-05-09,9.89,9.92,9.83,9.90,4459000,9.90
2017-05-10,9.89,9.90,9.87,9.89,3762000,9.89
2017-05-11,9.89,9.89,9.85,9.87,6867000,9.87
2017-05-12,9.89,9.89,9.87,9.88,2793000,9.88
2017-05-15,9.88,9.88,9.83,9.83,2872000,9.83
2017-05-16,9.82,9.84,9.81,9.83,2438000,9.83
2017-05-17,9.84,9.86,9.83,9.84,1404000,9.84
2017-05-18,9.93,9.96,9.89,9.89,2165000,9.89
2017-05-19,9.89,9.91,9.86,9.91,1641000,9.91
2017-05-22,9.88,9.90,9.87,9.87,1793000,9.87
2017-05-23,9.87,9.87,9.83,9.84,3172000,9.84
2017-05-24,9.84,9.84,9.82,9.82,3855000,9.82
2017-05-25,9.79,9.79,9.74,9.74,4047000,9.74
2017-05-26,9.74,9.76,9.72,9.75,4160000,9.75
2017-05-31,9.76,9.81,9.73,9.81,2324000,9.81
2017-06-01,9.80,9.80,9.77,9.77,1625000,9.77
2017-06-02,9.71,9.73,9.71,9.71,2427000,9.71
2017-06-03,9.70,9.70,9.68,9.68,298000,9.68
2017-06-05,9.72,9.72,9.64,9.64,1146000,9.64
2017-06-06,9.64,9.65,9.64,9.64,476000,9.64
2017-06-07,9.65,9.66,9.62,9.65,143000,9.65
2017-06-08,9.64,9.64,9.62,9.62,2129000,9.62
2017-06-09,9.61,9.63,9.59,9.63,2173000,9.63
2017-06-12,9.71,9.72,9.69,9.72,2275000,9.72
2017-06-13,9.71,9.71,9.69,9.70,2264000,9.70
2017-06-14,9.70,9.80,9.70,9.78,2314000,9.78
2017-06-15,9.78,9.81,9.76,9.76,2157000,9.76
2017-06-16,9.76,9.78,9.68,9.68,3382000,9.68
2017-06-19,9.65,9.66,9.59,9.59,2919000,9.59
2017-06-20,9.56,9.56,9.50,9.51,3010000,9.51
2017-06-21,9.54,9.56,9.49,9.51,2725000,9.51
2017-06-22,9.48,9.51,9.46,9.46,3438000,9.46
2017-06-23,9.46,9.48,9.44,9.48,3515000,9.48
2017-06-26,9.46,9.46,9.29,9.29,5512000,9.29
2017-06-27,9.29,9.32,9.27,9.30,2901000,9.30
2017-06-28,9.35,9.39,9.33,9.38,4509000,9.38
2017-06-29,9.32,9.38,9.31,9.38,4374000,9.38
2017-06-30,9.45,9.46,9.41,9.41,7557000,9.41
2017-07-03,9.42,9.44,9.40,9.40,2155000,9.40
2017-07-04,9.42,9.44,9.38,9.44,4972000,9.44
2017-07-05,9.44,9.48,9.37,9.38,2860000,9.38
2017-07-06,9.39,9.42,9.38,9.41,2131000,9.41
2017-07-07,9.43,9.46,9.42,9.45,2119000,9.45
2017-07-10,9.43,9.47,9.43,9.45,2977000,9.45
2017-07-11,9.40,9.40,9.32,9.32,3780000,9.32
2017-07-12,9.32,9.33,9.29,9.32,2621000,9.32
2017-07-13,9.27,9.30,9.24,9.26,2485000,9.26
2017-07-14,9.25,9.27,9.25,9.26,2186000,9.26
2017-07-17,9.22,9.26,9.22,9.26,2986000,9.26
2017-07-18,9.25,9.27,9.23,9.23,2376000,9.23
2017-07-19,9.21,9.21,9.15,9.20,2937000,9.20
2017-07-20,9.17,9.19,9.16,9.19,2182000,9.19
2017-07-21,9.20,9.24,9.20,9.23,2282000,9.23
2017-07-24,9.26,9.26,9.22,9.22,2265000,9.22
2017-07-25,9.21,9.22,9.20,9.20,2222000,9.20
2017-07-26,9.18,9.24,9.16,9.23,2426000,9.23
2017-07-27,9.19,9.19,9.12,9.12,2278000,9.12
2017-07-28,9.19,9.23,9.19,9.23,2270000,9.23
2017-07-31,9.23,9.27,9.20,9.20,2104000,9.20
2017-08-01,9.17,9.17,9.15,9.17,2139000,9.17
2017-08-02,9.15,9.15,9.11,9.11,2346000,9.11
2017-08-03,9.23,9.27,9.20,9.20,2104000,9.20
2017-08-04,9.16,9.17,9.12,9.12,2048000,9.12
2017-08-07,9.09,9.09,9.05,9.05,2302000,9.05
2017-08-08,9.04,9.08,9.04,9.06,2348000,9.06
2017-08-09,9.11,9.13,9.09,9.13,2177000,9.13
2017-08-10,9.11,9.24,9.10,9.21,3066000,9.21
2017-08-11,9.28,9.30,9.22,9.24,2129000,9.24
2017-08-14,9.22,9.33,9.22,9.33,3435000,9.33
2017-08-15,9.26,9.30,9.23,9.26,2550000,9.26
2017-08-16,9.29,9.30,9.26,9.28,3332000,9.28
2017-08-17,9.25,9.25,9.19,9.19,2884000,9.19
2017-08-18,9.27,9.30,9.24,9.25,2940000,9.25
2017-08-21,9.26,9.29,9.23,9.23,1939000,9.23
2017-08-22,9.19,9.19,9.16,9.17,2776000,9.17
2017-08-23,9.13,9.17,9.12,9.16,2970000,9.16
2017-08-24,9.14,9.14,9.06,9.08,2434000,9.08
2017-08-25,9.06,9.08,9.04,9.04,2901000,9.04
2017-08-28,9.05,9.05,9.02,9.03,2419000,9.03
2017-08-29,9.05,9.09,9.05,9.05,2381000,9.05
2017-08-30,9.01,9.02,9.00,9.01,2074000,9.01
2017-08-31,8.97,9.01,8.96,8.99,2324000,8.99
2017-09-01,8.97,8.99,8.94,8.97,2325000,8.97
2017-09-04,8.99,8.99,8.96,8.97,2076000,8.97
2017-09-05,8.98,8.99,8.97,8.97,1031000,8.97
2017-09-06,9.00,9.04,8.97,9.00,1122000,9.00
2017-09-07,8.99,9.04,8.98,9.04,1103000,9.04
2017-09-08,9.00,9.01,8.97,8.97,1147000,8.97
2017-09-11,8.93,8.99,8.90,8.97,1476000,8.97
2017-09-12,8.95,8.96,8.95,8.96,1101000,8.96
2017-09-13,8.96,9.01,8.96,9.00,1108000,9.00
2017-09-14,9.01,9.04,8.99,8.99,1178000,8.99
2017-09-15,9.03,9.03,8.99,8.99,1039000,8.99
2017-09-18,8.94,8.96,8.92,8.92,2847000,8.92
2017-09-19,8.91,8.97,8.91,8.97,1159000,8.97
2017-09-20,9.00,9.03,8.99,9.00,1697000,9.00
2017-09-21,9.03,9.03,8.93,8.94,2800000,8.94
2017-09-22,8.96,9.07,8.96,9.06,1966000,9.06
2017-09-25,9.07,9.16,9.07,9.14,1577000,9.14
2017-09-26,9.14,9.21,9.13,9.20,1437000,9.20
2017-09-27,9.19,9.19,9.15,9.15,1154000,9.15
2017-09-28,9.14,9.20,9.14,9.18,1538000,9.18
2017-09-29,9.17,9.21,9.16,9.17,3820000,9.17
2017-09-30,9.11,9.12,9.10,9.12,1676000,9.12
2017-10-02,9.09,9.10,9.04,9.05,2283000,9.05
2017-10-03,9.05,9.05,9.04,9.05,1098000,9.05
2017-10-05,9.05,9.05,8.97,9.00,3108000,9.00
2017-10-06,8.98,9.00,8.98,8.98,1220000,8.98
2017-10-11,8.94,8.95,8.88,8.90,2165000,8.90
2017-10-12,8.87,8.88,8.84,8.84,1297000,8.84
2017-10-13,8.85,8.87,8.84,8.84,1636000,8.84
2017-10-16,8.82,8.82,8.78,8.78,1594000,8.78
2017-10-17,8.79,8.82,8.78,8.82,1087000,8.82
2017-10-18,8.78,8.83,8.77,8.81,1571000,8.81
