Date,Open,High,Low,Close,Volume,Adj Close
2017-04-25,20.03,20.04,20.00,20.02,4333000,20.02
2017-04-26,20.04,20.05,19.93,19.93,2075000,19.93
2017-04-27,19.90,19.90,19.84,19.87,1233000,19.87
2017-04-28,19.84,19.88,19.82,19.88,1275000,19.88
2017-05-02,20.05,20.21,20.04,20.19,2086000,20.19
2017-05-03,20.10,20.13,20.05,20.08,1437000,20.08
2017-05-04,20.20,20.22,20.18,20.18,1191000,20.18
2017-05-05,20.18,20.19,20.13,20.16,2005000,20.16
2017-05-08,20.16,20.16,20.04,20.05,1265000,20.05
2017-05-09,20.02,20.03,19.98,19.98,899000,19.98
2017-05-10,20.18,20.19,20.14,20.15,3291000,20.15
2017-05-11,20.10,20.10,19.98,20.04,884000,20.04
2017-05-12,19.98,19.98,19.94,19.95,1052000,19.95
2017-05-15,19.97,19.99,19.96,19.96,865000,19.96
2017-05-16,19.98,19.98,19.96,19.96,1002000,19.96
2017-05-17,20.17,20.27,20.15,20.27,1996000,20.27
2017-05-18,19.98,20.00,19.92,19.98,1017000,19.98
2017-05-19,19.62,19.68,19.60,19.66,1673000,19.66
2017-05-22,19.79,19.85,19.77,19.82,922000,19.82
2017-05-23,19.80,19.84,19.76,19.76,1242000,19.76
2017-05-24,19.68,19.70,19.55,19.56,2223000,19.56
2017-05-25,19.64,19.70,19.64,19.70,1590000,19.70
2017-05-26,19.49,19.50,19.40,19.40,1193000,19.40
2017-05-31,19.07,19.08,18.97,19.00,1809000,19.00
2017-06-01,19.02,19.07,19.00,19.05,715000,19.05
2017-06-02,18.95,19.00,18.90,18.98,1057000,18.98
2017-06-03,19.05,19.20,19.05,19.18,513000,19.18
2017-06-05,19.16,19.22,19.14,19.17,1310000,19.17
2017-06-06,19.16,19.16,19.11,19.13,1812000,19.13
2017-06-07,19.28,19.28,19.20,19.27,1003000,19.27
2017-06-08,19.41,19.46,19.36,19.42,1349000,19.42
2017-06-09,19.48,19.51,19.45,19.47,1291000,19.47
2017-06-12,19.52,19.53,19.44,19.46,1110000,19.46
2017-06-13,19.38,19.39,19.35,19.36,847000,19.36
2017-06-14,19.36,19.39,19.35,19.36,1249000,19.36
2017-06-15,19.33,19.33,19.27,19.30,1397000,19.30
2017-06-16,19.46,19.57,19.46,19.48,1243500,19.48
2017-06-19,19.55,19.73,19.54,19.71,1726000,19.71
2017-06-20,19.57,19.57,19.47,19.49,1267000,19.49
2017-06-21,19.36,19.40,19.34,19.36,715000,19.36
2017-06-22,19.11,19.13,19.07,19.11,1413000,19.11
2017-06-23,18.85,18.87,18.83,18.83,1969000,18.83
2017-06-26,18.83,18.90,18.83,18.89,1169000,18.89
2017-06-27,18.90,18.93,18.89,18.90,273000,18.90
2017-06-28,18.95,18.95,18.89,18.90,658000,18.90
2017-06-29,18.97,19.10,18.97,19.09,260000,19.09
2017-06-30,19.03,19.07,18.98,19.06,219000,19.06
2017-07-03,19.95,20.00,19.90,19.98,1620000,19.98
2017-07-04,20.15,20.17,20.00,20.10,1549000,20.10
2017-07-05,20.12,20.14,20.11,20.13,696000,20.13
2017-07-06,20.40,20.44,20.24,20.35,1596000,20.35
2017-07-07,20.53,20.60,20.52,20.57,803050,20.57
2017-07-10,21.20,21.31,21.19,21.31,1000000,21.31
2017-07-11,21.52,21.54,21.36,21.40,1795300,21.40
2017-07-12,21.42,21.42,21.36,21.40,721100,21.40
2017-07-13,21.02,21.02,20.89,20.96,1182050,20.96
2017-07-14,20.38,20.40,20.30,20.40,1214000,20.40
2017-07-17,20.55,20.56,20.50,20.55,726000,20.55
2017-07-18,20.77,20.79,20.68,20.70,676000,20.70
2017-07-19,20.67,20.76,20.55,20.62,406000,20.62
2017-07-20,20.92,20.92,20.77,20.82,561000,20.82
2017-07-21,21.09,21.10,21.01,21.01,1089000,21.01
2017-07-24,20.74,20.74,20.54,20.68,751000,20.68
2017-07-25,21.01,21.04,20.94,21.03,1545000,21.03
2017-07-26,20.53,20.60,20.52,20.56,1346000,20.56
2017-07-27,20.60,20.60,20.55,20.59,173000,20.59
2017-07-28,20.67,20.68,20.62,20.65,276000,20.65
2017-07-31,20.55,20.60,20.50,20.56,415000,20.56
2017-08-01,20.50,20.57,20.50,20.54,269000,20.54
2017-08-02,20.01,20.07,20.00,20.05,921000,20.05
2017-08-03,20.55,20.60,20.50,20.56,415000,20.56
2017-08-04,19.73,19.78,19.73,19.77,1430000,19.77
2017-08-07,19.81,19.89,19.81,19.86,302000,19.86
2017-08-08,20.01,20.08,20.01,20.08,217010,20.08
2017-08-09,20.05,20.09,20.03,20.05,111000,20.05
2017-08-10,20.00,20.01,19.94,19.98,303000,19.98
2017-08-11,19.38,19.48,19.38,19.42,1091000,19.42
2017-08-14,19.30,19.34,19.28,19.32,735000,19.32
2017-08-15,19.32,19.34,19.28,19.30,373000,19.30
2017-08-16,19.01,19.11,19.00,19.11,1053000,19.11
2017-08-17,19.21,19.25,19.15,19.18,907000,19.18
2017-08-18,19.31,19.31,19.27,19.30,446012,19.30
2017-08-21,19.28,19.33,19.27,19.31,998000,19.31
2017-08-22,19.30,19.38,19.23,19.38,423000,19.38
2017-08-23,19.38,19.49,19.38,19.44,426000,19.44
2017-08-24,19.33,19.42,19.30,19.39,229000,19.39
2017-08-25,19.41,19.43,19.39,19.41,315000,19.41
2017-08-28,19.50,19.56,19.47,19.54,343000,19.54
2017-08-29,19.40,19.40,19.36,19.37,211000,19.37
2017-08-30,19.36,19.36,19.30,19.30,259000,19.30
2017-08-31,19.20,19.25,19.19,19.22,695100,19.22
2017-09-01,19.42,19.48,19.41,19.48,363000,19.48
2017-09-04,19.57,19.57,19.48,19.53,222000,19.53
2017-09-05,19.60,19.63,19.58,19.60,282000,19.60
2017-09-06,19.84,19.86,19.80,19.86,574000,19.86
2017-09-07,19.92,19.95,19.89,19.90,484000,19.90
2017-09-08,19.92,20.00,19.91,19.99,767000,19.99
2017-09-11,19.79,19.82,19.74,19.77,365000,19.77
2017-09-12,19.70,19.70,19.62,19.65,306000,19.65
2017-09-13,19.57,19.65,19.52,19.55,359000,19.55
2017-09-14,19.72,19.79,19.72,19.75,288000,19.75
2017-09-15,19.99,19.99,19.93,19.95,995000,19.95
2017-09-18,19.86,19.94,19.86,19.91,253000,19.91
2017-09-19,19.87,19.91,19.84,19.86,496000,19.86
2017-09-20,19.82,19.82,19.78,19.80,398000,19.80
2017-09-21,19.94,19.94,19.86,19.87,245000,19.87
2017-09-22,19.87,20.07,19.87,20.03,613015,20.03
2017-09-25,20.14,20.15,20.02,20.03,665000,20.03
2017-09-26,19.90,19.95,19.90,19.93,565000,19.93
2017-09-27,19.77,19.77,19.72,19.74,381000,19.74
2017-09-28,19.75,19.75,19.66,19.70,260000,19.70
2017-09-29,19.67,19.67,19.62,19.64,123000,19.64
2017-09-30,19.80,19.80,19.78,19.80,74000,19.80
2017-10-02,19.80,19.82,19.79,19.79,80001,19.79
2017-10-03,19.56,19.60,19.54,19.58,498000,19.58
2017-10-05,19.74,19.74,19.65,19.73,753000,19.73
2017-10-06,19.81,19.84,19.80,19.84,471000,19.84
2017-10-11,19.75,19.80,19.74,19.74,141000,19.74
2017-10-12,19.78,19.83,19.78,19.83,89000,19.83
2017-10-13,20.21,20.27,20.21,20.27,1363000,20.27
2017-10-16,20.31,20.37,20.27,20.27,530000,20.27
2017-10-17,20.25,20.25,20.14,20.19,518000,20.19
2017-10-18,20.10,20.13,20.08,20.12,219000,20.12
2017-10-19,20.13,20.13,20.09,20.12,158000,20.12
2017-10-20,20.18,20.19,20.12,20.19,119010,20.19
2017-10-23,19.99,20.05,19.99,20.03,217000,20.03
2017-10-24,20.03,20.10,20.03,20.09,271000,20.09
2017-10-25,20.02,20.02,19.97,19.97,121000,19.97
2017-10-26,19.98,20.00,19.98,19.99,70000,19.99
2017-10-27,19.91,19.93,19.89,19.92,224000,19.92
2017-10-30,19.98,20.05,19.98,20.02,1217000,20.02
2017-10-31,19.89,19.93,19.89,19.93,173000,19.93
2017-11-01,19.93,19.95,19.90,19.95,94000,19.95
2017-11-02,20.05,20.14,20.05,20.13,204000,20.13
2017-11-03,20.13,20.15,20.12,20.13,49000,20.13
2017-11-06,19.95,19.98,19.94,19.96,70010,19.96
2017-11-07,20.09,20.12,20.07,20.07,466000,20.07
2017-11-08,20.07,20.10,20.07,20.09,589000,20.09
2017-11-09,20.10,20.13,20.09,20.10,580000,20.10
2017-11-10,19.89,19.92,19.86,19.88,301000,19.88
2017-11-13,19.92,19.94,19.89,19.91,154000,19.91
2017-11-14,19.71,19.73,19.69,19.72,434000,19.72
2017-11-15,19.58,19.58,19.55,19.58,194000,19.58
2017-11-16,19.68,19.76,19.68,19.74,74000,19.74
2017-11-17,19.65,19.69,19.63,19.69,88000,19.69
2017-11-20,19.97,19.99,19.94,19.99,279000,19.99
2017-11-21,19.97,19.97,19.91,19.91,93000,19.91
2017-11-22,19.91,19.93,19.91,19.93,43000,19.93
2017-11-23,20.08,20.08,20.01,20.01,314000,20.01
2017-11-24,20.05,20.05,19.99,19.99,128000,19.99
2017-11-27,20.00,20.08,20.00,20.04,79000,20.04
2017-11-28,20.00,20.02,20.00,20.01,96049,20.01
2017-11-29,19.97,19.98,19.94,19.94,80000,19.94
