Date,Open,High,Low,Close,Volume,Adj Close
2017-08-21,--,--,--,--,0,--
2017-08-22,20.02,20.10,20.00,20.05,91000,20.05
2017-08-23,20.00,20.04,20.00,20.04,10000,20.04
2017-08-24,20.06,20.06,20.04,20.04,15000,20.04
2017-08-25,20.05,20.05,20.05,20.05,17000,20.05
2017-08-28,20.07,20.07,20.05,20.05,9000,20.05
2017-08-29,20.00,20.00,20.00,20.00,2000,20.00
2017-08-30,20.03,20.03,20.03,20.03,1000,20.03
2017-08-31,20.03,20.03,20.02,20.02,4000,20.02
2017-09-01,20.06,20.09,20.06,20.09,7000,20.09
2017-09-04,20.08,20.08,20.06,20.06,4000,20.06
2017-09-05,20.05,20.05,20.05,20.05,2000,20.05
2017-09-06,20.01,20.01,20.01,20.01,1000,20.01
2017-09-07,--,--,--,--,0,--
2017-09-08,20.01,20.01,20.01,20.01,3000,20.01
2017-09-11,19.98,19.98,19.98,19.98,2000,19.98
2017-09-12,19.98,19.98,19.98,19.98,1000,19.98
2017-09-13,19.98,19.98,19.98,19.98,1000,19.98
2017-09-14,20.04,20.04,20.04,20.04,1000,20.04
2017-09-15,20.09,20.12,20.09,20.12,2000,20.12
2017-09-18,20.02,20.02,20.02,20.02,3000,20.02
2017-09-19,20.07,20.07,20.07,20.07,14000,20.07
2017-09-20,20.10,20.10,20.06,20.06,11000,20.06
2017-09-21,20.10,20.10,20.10,20.10,1000,20.10
2017-09-22,20.18,20.18,20.18,20.18,1000,20.18
2017-09-25,20.11,20.11,20.11,20.11,1000,20.11
2017-09-26,20.07,20.07,20.02,20.02,70000,20.02
2017-09-27,20.03,20.09,20.02,20.02,188000,20.02
2017-09-28,20.06,20.06,20.06,20.06,4784000,20.06
2017-09-29,--,--,--,--,0,--
2017-09-30,20.10,20.10,20.10,20.10,1000,20.10
2017-10-02,20.10,20.15,20.09,20.15,145000,20.15
2017-10-03,20.23,20.25,20.23,20.25,4000,20.25
2017-10-05,20.21,20.23,20.21,20.23,104000,20.23
2017-10-06,20.21,20.21,20.21,20.21,20000,20.21
2017-10-11,20.22,20.23,20.22,20.23,21000,20.23
2017-10-12,20.12,20.12,20.12,20.12,1000,20.12
2017-10-13,20.09,20.09,20.09,20.09,1000,20.09
2017-10-16,20.06,20.06,20.06,20.06,23000,20.06
2017-10-17,20.11,20.12,20.11,20.12,41000,20.12
2017-10-18,20.16,20.16,20.16,20.16,1000,20.16
2017-10-19,20.20,20.20,20.20,20.20,20000,20.20
2017-10-20,20.20,20.20,20.20,20.20,20000,20.20
2017-10-23,20.24,20.28,20.24,20.28,4741000,20.28
2017-10-24,20.27,20.27,20.24,20.25,4779000,20.25
2017-10-25,20.28,20.28,20.28,20.28,336000,20.28
2017-10-26,20.23,20.23,20.15,20.15,85000,20.15
2017-10-27,20.16,20.16,20.16,20.16,100000,20.16
2017-10-30,20.11,20.12,20.11,20.12,4743000,20.12
2017-10-31,20.10,20.12,20.10,20.11,71000,20.11
2017-11-01,20.08,20.08,20.08,20.08,1000,20.08
2017-11-02,20.13,20.13,20.13,20.13,3000,20.13
2017-11-03,20.16,20.16,20.16,20.16,2000,20.16
2017-11-06,20.11,20.11,20.11,20.11,10000,20.11
2017-11-07,20.12,20.12,20.12,20.12,1000,20.12
2017-11-08,20.11,20.11,20.06,20.06,9000,20.06
2017-11-09,20.02,20.03,20.02,20.03,2302000,20.03
2017-11-10,20.00,20.00,20.00,20.00,1000,20.00
2017-11-13,20.00,20.00,20.00,20.00,1000,20.00
2017-11-14,19.99,19.99,19.99,19.99,2000,19.99
2017-11-15,19.93,19.93,19.93,19.93,20000,19.93
2017-11-16,19.88,19.88,19.88,19.88,2000,19.88
2017-11-17,19.97,19.97,19.97,19.97,4000,19.97
2017-11-20,19.95,19.95,19.95,19.95,1000,19.95
2017-11-21,19.95,19.95,19.95,19.95,10000,19.95
2017-11-22,19.93,19.93,19.90,19.90,24000,19.90
2017-11-23,19.87,19.87,19.87,19.87,20000,19.87
2017-11-24,19.85,19.85,19.85,19.85,1000,19.85
2017-11-27,--,--,--,--,0,--
2017-11-28,19.89,19.89,19.89,19.89,20000,19.89
2017-11-29,19.90,19.90,19.90,19.90,20000,19.90
2017-11-30,--,--,--,--,0,--
2017-12-01,19.91,19.91,19.91,19.91,1000,19.91
2017-12-04,19.94,19.94,19.94,19.94,1000,19.94
2017-12-05,19.95,19.95,19.92,19.93,44000,19.93
2017-12-06,--,--,--,--,0,--
2017-12-07,--,--,--,--,0,--
2017-12-08,19.94,19.94,19.94,19.94,1000,19.94
2017-12-11,19.96,19.96,19.94,19.94,3000,19.94
2017-12-12,19.91,19.91,19.91,19.91,1000,19.91
2017-12-13,19.90,19.90,19.90,19.90,1000,19.90
2017-12-14,19.91,19.91,19.91,19.91,10000,19.91
2017-12-15,19.91,19.93,19.91,19.93,15000,19.93
2017-12-18,19.87,19.87,19.87,19.87,10000,19.87
2017-12-19,19.87,19.87,19.87,19.87,5000,19.87
2017-12-20,19.93,19.93,19.93,19.93,2000,19.93
2017-12-21,19.84,19.84,19.84,19.84,2000,19.84
2017-12-22,19.93,19.93,19.90,19.90,2000,19.90
2017-12-25,--,--,--,--,0,--
2017-12-26,--,--,--,--,0,--
2017-12-27,19.86,19.86,19.86,19.86,10000,19.86
2017-12-28,--,--,--,--,0,--
2017-12-29,19.84,19.84,19.75,19.75,41000,19.75
2018-01-02,19.72,19.72,19.72,19.72,1000,19.72
2018-01-03,19.70,19.70,19.70,19.70,1000,19.70
2018-01-04,--,--,--,--,0,--
