Date,Open,High,Low,Close,Volume,Adj Close
2006-04-13,10.15,10.16,10.10,10.16,87402000,10.16
2006-04-14,10.17,10.22,10.17,10.20,10259000,10.20
2006-04-17,10.20,10.22,10.20,10.22,3876000,10.22
2006-04-18,10.22,10.23,10.21,10.22,1601000,10.22
2006-04-19,10.22,10.23,10.21,10.23,2477000,10.23
2006-04-20,10.23,10.27,10.23,10.25,4560000,10.25
2006-04-21,10.25,10.31,10.25,10.31,4489000,10.31
2006-04-24,10.31,10.35,10.30,10.34,1813000,10.34
2006-04-25,10.35,10.40,10.35,10.40,2428000,10.40
2006-04-26,10.50,10.69,10.45,10.68,13250000,10.68
2006-04-27,10.69,10.69,10.50,10.51,5749000,10.51
2006-04-28,10.50,10.50,10.36,10.41,4156000,10.41
2006-05-02,10.40,10.48,10.40,10.43,1520000,10.43
2006-05-03,10.47,10.50,10.47,10.50,1212000,10.50
2006-05-04,10.50,10.59,10.48,10.58,2709000,10.58
2006-05-05,10.59,10.60,10.55,10.55,2438000,10.55
2006-05-08,10.60,10.60,10.56,10.59,1244000,10.59
2006-05-09,10.59,10.59,10.56,10.58,1495000,10.58
2006-05-10,10.59,10.61,10.58,10.60,2128000,10.60
2006-05-11,10.60,10.60,10.58,10.59,2043000,10.59
2006-05-12,10.58,10.59,10.54,10.55,1634000,10.55
2006-05-15,10.54,10.58,10.54,10.55,897000,10.55
2006-05-16,10.55,10.58,10.54,10.54,1926000,10.54
2006-05-17,10.58,10.58,10.54,10.54,403000,10.54
2006-05-18,10.54,10.54,10.52,10.52,941000,10.52
2006-05-19,10.50,10.53,10.50,10.52,1431000,10.52
2006-05-22,10.53,10.53,10.50,10.50,2341000,10.50
2006-05-23,10.50,10.51,10.36,10.38,8906000,10.38
2006-05-24,10.40,10.43,10.40,10.42,909000,10.42
2006-05-25,10.42,10.43,10.41,10.42,183000,10.42
2006-05-26,10.42,10.45,10.42,10.43,140000,10.43
2006-05-29,10.42,10.44,10.42,10.43,409000,10.43
2006-05-30,10.42,10.50,10.41,10.50,2273000,10.50
2006-06-01,10.41,10.46,10.41,10.42,291000,10.42
2006-06-02,10.42,10.45,10.41,10.43,133000,10.43
2006-06-05,10.43,10.49,10.42,10.42,1233000,10.42
2006-06-06,10.41,10.42,10.30,10.34,4360000,10.34
2006-06-07,10.41,10.90,10.26,10.29,5152000,10.29
2006-06-08,10.30,10.30,10.28,10.28,2600000,10.28
2006-06-09,10.29,10.29,10.25,10.29,3058000,10.29
2006-06-12,10.29,10.29,10.26,10.26,505000,10.26
2006-06-13,10.26,10.28,10.26,10.27,198000,10.27
2006-06-14,10.28,10.40,10.27,10.29,155000,10.29
2006-06-15,10.40,10.40,10.29,10.32,344000,10.32
2006-06-16,10.37,10.40,10.32,10.32,1533000,10.32
2006-06-19,10.33,10.33,10.30,10.31,417000,10.31
2006-06-20,10.31,10.32,10.31,10.31,1050000,10.31
2006-06-21,10.30,10.30,10.28,10.30,505000,10.30
2006-06-22,10.30,10.31,10.29,10.30,1473000,10.30
2006-06-23,10.30,10.30,10.29,10.30,682000,10.30
2006-06-26,10.30,10.30,10.29,10.30,999000,10.30
2006-06-27,10.30,10.31,10.30,10.31,425000,10.31
2006-06-28,10.33,10.33,10.29,10.30,1717000,10.30
2006-06-29,10.30,10.32,10.30,10.30,109000,10.30
2006-06-30,10.33,10.39,10.33,10.39,680000,10.39
2006-07-03,10.40,10.40,10.30,10.30,1132000,10.30
2006-07-04,10.35,10.35,10.32,10.32,11000,10.32
2006-07-05,10.31,10.35,10.31,10.33,25000,10.33
2006-07-06,10.35,10.35,10.34,10.34,131000,10.34
2006-07-07,10.35,10.35,10.34,10.34,336000,10.34
2006-07-10,10.35,10.36,10.34,10.36,140000,10.36
2006-07-11,10.36,10.38,10.36,10.37,108000,10.37
2006-07-12,10.38,10.39,10.37,10.38,547000,10.38
2006-07-13,10.38,10.40,10.38,10.40,680000,10.40
2006-07-14,10.40,10.42,10.40,10.41,712000,10.41
2006-07-17,10.41,10.42,10.35,10.41,1612000,10.41
2006-07-18,10.41,10.41,10.40,10.41,1137000,10.41
2006-07-19,10.41,10.43,10.41,10.42,1098000,10.42
2006-07-20,10.45,10.50,10.45,10.47,1347000,10.47
2006-07-21,10.47,10.47,10.44,10.44,119000,10.44
2006-07-24,10.44,10.49,10.44,10.49,782000,10.49
2006-07-25,10.50,10.52,10.50,10.51,1281000,10.51
2006-07-26,10.51,10.53,10.50,10.52,961000,10.52
2006-07-27,10.52,10.54,10.51,10.54,1451000,10.54
2006-07-28,10.54,10.55,10.49,10.54,1084000,10.54
2006-07-31,10.53,10.53,10.40,10.53,538000,10.53
2006-08-01,10.50,10.52,10.49,10.52,475000,10.52
2006-08-02,10.51,10.53,10.51,10.53,926000,10.53
2006-08-03,10.50,10.53,10.50,10.53,325000,10.53
2006-08-04,10.52,10.53,10.51,10.53,173000,10.53
2006-08-07,10.52,10.54,10.52,10.53,558000,10.53
2006-08-08,10.53,10.54,10.53,10.54,415000,10.54
2006-08-09,10.54,10.55,10.54,10.55,888000,10.55
2006-08-10,10.55,10.57,10.55,10.56,398000,10.56
2006-08-11,10.56,10.57,10.55,10.56,333000,10.56
2006-08-14,10.55,10.57,10.55,10.56,377000,10.56
2006-08-15,10.55,10.56,10.51,10.51,1250000,10.51
2006-08-16,10.52,10.52,10.51,10.52,3737000,10.52
2006-08-17,10.52,10.53,10.50,10.52,715000,10.52
2006-08-18,10.52,10.54,10.50,10.53,410000,10.53
2006-08-21,10.53,10.56,10.51,10.55,1168000,10.55
2006-08-22,10.54,10.58,10.54,10.57,875000,10.57
2006-08-23,10.58,10.59,10.55,10.55,1216000,10.55
2006-08-24,10.55,10.57,10.55,10.56,1183000,10.56
2006-08-25,10.56,10.57,10.56,10.57,812000,10.57
2006-08-28,10.56,10.57,10.55,10.56,2927000,10.56
2006-08-29,10.57,10.57,10.56,10.56,1470000,10.56
2006-08-30,10.56,10.56,10.52,10.53,525000,10.53
2006-08-31,10.53,10.54,10.51,10.54,462000,10.54
2006-09-01,10.51,10.51,10.50,10.50,160000,10.50
2006-09-04,10.46,10.49,10.40,10.41,844000,10.41
2006-09-05,10.42,10.45,10.42,10.44,1154000,10.44
2006-09-06,10.45,10.50,10.45,10.50,110000,10.50
2006-09-07,10.46,10.50,10.46,10.50,51000,10.50
2006-09-08,10.50,10.50,10.47,10.47,283000,10.47
2006-09-11,10.45,10.46,10.45,10.46,7000,10.46
2006-09-12,10.50,10.50,10.47,10.48,418000,10.48
2006-09-13,10.48,10.50,10.48,10.50,180000,10.50
2006-09-14,10.50,10.50,10.48,10.50,1848000,10.50
2006-09-15,10.50,10.50,10.49,10.50,499000,10.50
2006-09-18,10.50,10.50,10.48,10.48,94000,10.48
2006-09-19,10.49,10.52,10.49,10.50,660000,10.50
2006-09-20,10.50,10.50,10.49,10.50,473000,10.50
2006-09-21,10.50,10.50,10.48,10.50,1203000,10.50
2006-09-22,10.50,10.51,10.50,10.50,1169000,10.50
2006-09-25,10.52,10.52,10.50,10.50,201000,10.50
2006-09-26,10.50,10.51,10.50,10.50,442000,10.50
2006-09-27,10.51,10.52,10.50,10.52,331000,10.52
2006-09-28,10.52,10.52,10.50,10.50,321000,10.50
2006-09-29,10.50,10.58,10.50,10.58,1301000,10.58
2006-10-02,10.56,10.56,10.53,10.53,594000,10.53
2006-10-03,10.53,10.54,10.52,10.54,280000,10.54
2006-10-04,10.53,10.54,10.53,10.54,66000,10.54
2006-10-05,10.53,10.54,10.53,10.54,143000,10.54
2006-10-11,10.54,10.55,10.54,10.55,1158000,10.55
2006-10-12,10.55,10.57,10.54,10.57,758000,10.57
2006-10-13,10.56,10.56,10.54,10.55,822000,10.55
2006-10-14,10.55,10.55,10.54,10.54,145000,10.54
2006-10-16,10.54,10.54,10.52,10.53,1985000,10.53
2006-10-17,10.55,10.55,10.52,10.53,1863000,10.53
2006-10-18,10.53,10.53,10.52,10.53,1094000,10.53
2006-10-19,10.53,10.54,10.53,10.53,537000,10.53
2006-10-20,10.53,10.56,10.53,10.55,718000,10.55
2006-10-23,10.56,10.57,10.55,10.56,984000,10.56
2006-10-24,10.56,10.58,10.56,10.57,677000,10.57
2006-10-25,10.58,10.74,10.58,10.58,14746000,10.58
2006-10-26,10.60,10.60,10.57,10.59,1158000,10.59
2006-10-27,10.59,10.59,10.58,10.58,422000,10.58
2006-10-30,10.58,10.60,10.58,10.59,771000,10.59
2006-10-31,10.60,10.61,10.58,10.60,514000,10.60
2006-11-01,10.60,10.64,10.60,10.64,1929000,10.64
2006-11-02,10.65,10.65,10.62,10.64,1136000,10.64
