Date,Open,High,Low,Close,Volume,Adj Close
2017-12-01,50.80,50.80,50.40,50.60,4699705,50.60
2017-12-04,50.60,50.80,50.50,50.60,1702743,50.60
2017-12-05,50.60,50.60,50.40,50.50,1482786,50.50
2017-12-06,50.50,50.50,50.30,50.30,1153368,50.30
2017-12-07,50.30,50.40,50.30,50.30,362262,50.30
2017-12-08,50.30,50.40,50.30,50.30,420088,50.30
2017-12-11,50.30,50.40,50.30,50.30,274805,50.30
2017-12-12,50.30,50.30,50.20,50.20,370008,50.20
2017-12-13,50.20,50.30,50.20,50.30,496056,50.30
2017-12-14,50.30,50.30,50.10,50.20,556197,50.20
2017-12-15,50.20,50.30,50.10,50.20,346939,50.20
2017-12-18,50.20,50.30,50.10,50.10,204868,50.10
2017-12-19,50.20,50.20,50.00,50.10,572495,50.10
2017-12-20,50.10,50.20,50.00,50.10,495347,50.10
2017-12-21,50.10,50.10,50.00,50.10,111968,50.10
2017-12-22,50.10,50.10,50.00,50.10,394000,50.10
2017-12-25,50.10,50.10,50.00,50.10,437001,50.10
2017-12-26,50.10,50.10,50.00,50.10,279000,50.10
2017-12-27,50.10,50.10,50.00,50.10,500795,50.10
2017-12-28,50.00,50.10,49.95,50.00,852607,50.00
2017-12-29,50.00,50.10,50.00,50.10,301630,50.10
2018-01-02,50.00,50.10,50.00,50.00,133534,50.00
2018-01-03,50.10,50.10,50.00,50.10,242000,50.10
2018-01-04,50.10,50.20,50.10,50.10,271864,50.10
2018-01-05,50.10,50.10,50.00,50.10,369245,50.10
2018-01-08,50.10,50.10,50.00,50.10,91000,50.10
2018-01-09,50.10,50.10,50.00,50.10,847000,50.10
2018-01-10,50.10,50.10,50.00,50.10,203602,50.10
2018-01-11,50.00,50.10,50.00,50.10,334000,50.10
2018-01-12,50.10,50.10,50.00,50.10,163044,50.10
2018-01-13,50.20,50.30,50.10,50.10,204868,50.10
2018-01-15,50.10,50.10,50.00,50.10,316000,50.10
2018-01-16,50.10,50.10,50.00,50.00,294010,50.00
2018-01-17,50.10,50.10,50.00,50.10,109099,50.10
2018-01-18,50.10,50.10,50.00,50.10,812165,50.10
2018-01-19,50.10,50.10,50.00,50.10,113684,50.10
2018-01-22,50.10,50.10,50.00,50.10,506000,50.10
2018-01-23,50.10,50.10,50.00,50.00,306000,50.00
2018-01-24,50.10,50.10,50.00,50.10,86000,50.10
2018-01-25,50.00,50.10,50.00,50.10,183000,50.10
2018-01-26,50.00,50.10,50.00,50.10,178598,50.10
2018-01-29,50.00,50.10,50.00,50.00,347830,50.00
2018-01-30,50.00,50.10,50.00,50.00,114000,50.00
2018-01-31,50.00,50.10,50.00,50.10,86000,50.10
2018-02-01,50.10,50.10,50.00,50.10,103044,50.10
2018-02-02,50.10,50.10,50.00,50.00,85427,50.00
